article_title,question_id,question,answer_text,answer_start_offset,sentence_text
Somerset,5726b142f1498d1400e8e7a4,Where is the Museum of Somerset ,in Taunton,535,"Other visitor attractions which reflect the cultural heritage of the county include: Claverton Pumping Station, Dunster Working Watermill, the Fleet Air Arm Museum at Yeovilton, Nunney Castle, The Helicopter Museum in Weston-super-Mare, King John's Hunting Lodge in Axbridge, Blake Museum Bridgwater, Radstock Museum, Museum of Somerset in Taunton, the Somerset Rural Life Museum in Glastonbury, and Westonzoyland Pumping Station Museum."
Neoclassical_architecture,572983b13f37b3190047846a,What colors were utilized for interiors?,"""Pompeiian red"" or pale tints, or stone colours",413,"Techniques employed in the style included flatter, lighter motifs, sculpted in low frieze-like relief or painted in monotones en camaïeu (""like cameos""), isolated medallions or vases or busts or bucrania or other motifs, suspended on swags of laurel or ribbon, with slender arabesques against backgrounds, perhaps, of ""Pompeiian red"" or pale tints, or stone colours."
Canadian_Armed_Forces,56dde02666d3e219004dad6e,What does CF stand for in this context?,Forces canadiennes,110,"The Canadian Armed Forces (CAF; French: Forces armées canadiennes, FAC), or Canadian Forces (CF) (French: les Forces canadiennes, FC), is the unified armed force of Canada, as constituted by the National Defence Act, which states: ""The Canadian Forces are the armed forces of Her Majesty raised by Canada and consist of one Service called the Canadian Armed Forces."""
Translation,57306408069b5314008320c6,What was the dividing up of the Middle Eastern countries in violation of?,solemn wartime promises of postwar Arab autonomy,170,"After World War I, when Britain and France divided up the Middle East's countries, apart from Turkey, between them, pursuant to the Sykes-Picot agreement—in violation of solemn wartime promises of postwar Arab autonomy—there came an immediate reaction: the Muslim Brotherhood emerged in Egypt, the House of Saud took over the Hijaz, and regimes led by army officers came to power in Iran and Turkey. """
Mexico_City,57268500f1498d1400e8e273,What is the center of the LGBT community in Mexico City?,Art Deco architecture,391,"Other well-known central neighborhoods include Condesa, known for its Art Deco architecture and its restaurant scene; Colonia Roma, a beaux arts neighborhood and artistic and culinary hot-spot, the Zona Rosa, formerly the center of nightlife and restaurants, now reborn as the center of the LGBT and Korean-Mexican communities; and Tepito and La Lagunilla, known for their local working-class foklore and large flea markets."
Dog,56d9cadedc89441400fdb82d,How do dogs mark their territory?,urine marking,597,"While dog training as an organized activity can be traced back to the 18th century, in the last decades of the 20th century it became a high profile issue as many normal dog behaviors such as barking, jumping up, digging, rolling in dung, fighting, and urine marking (which dogs do to establish territory through scent), became increasingly incompatible with the new role of a pet dog."
Buddhism,56d1c3cae7d4791d0090212c,Karen Armstrong wrote a biography on who?,the Buddha,253,"In writing her biography of the Buddha, Karen Armstrong noted, ""It is obviously difficult, therefore, to write a biography of the Buddha that meets modern criteria, because we have very little information that can be considered historically sound... [but] we can be reasonably confident Siddhatta Gotama did indeed exist and that his disciples preserved the memory of his life and teachings as well as they could."""
Myanmar,57288e8eff5b5019007da2e9,What is required of commentators before publishing or airing content ?,"journalists ""are required to follow 16 guidelines towards protecting the three national causes",572,"However, as explained by one editorial in the exiled press The Irrawaddy, this new ""freedom"" has caused some Burmese journalists to simply see the new law as an attempt to create an environment of self-censorship as journalists ""are required to follow 16 guidelines towards protecting the three national causes — non-disintegration of the Union, non-disintegration of national solidarity, perpetuation of sovereignty — and ""journalistic ethics"" to ensure their stories are accurate and do not jeopardise national security."""
FA_Cup,5727512f5951b619008f8839,What happened during those years? ,"the FA Cup Final was played before the Premier League season had finished, to allow Wembley Stadium to be ready for the UEFA Champions League final",281,"The only seasons in recent times when this pattern was not followed were 1999–2000, when most rounds were played a few weeks earlier than normal as an experiment, and 2010–11 and 2012–13 when the FA Cup Final was played before the Premier League season had finished, to allow Wembley Stadium to be ready for the UEFA Champions League final, as well as in 2011–12 to allow England time to prepare for that summer's European Championships."
Capital_punishment_in_the_United_States,5710257ea58dae1900cd691d,In what country does Hospira manufacture sodium thiopental today?,Italy,555,"For example, Hospira, the sole American manufacturer of sodium thiopental, the critical anesthetic in the three-drug cocktail, announced in 2011 that it would no longer manufacture the drug for the American market, in part for ethical reasons and in part because its transfer of sodium thiopental manufacturing to Italy would subject it to the European Union's Torture Regulation, which forbids the use of any product manufactured within the Union for torture (as execution by lethal injection is considered by the Regulation)."
Central_Intelligence_Agency,572f52b1947a6a140053c879,What is the acronym for French's intelligence service?,DGSE,486,"The role and functions of the CIA are roughly equivalent to those of the United Kingdom's Secret Intelligence Service (the SIS or MI6), the Australian Secret Intelligence Service (ASIS), the Egyptian General Intelligence Service, the Russian Foreign Intelligence Service (Sluzhba Vneshney Razvedki) (SVR), the Indian Research and Analysis Wing (RAW), the Pakistani Inter-Services Intelligence (ISI), the French foreign intelligence service Direction Générale de la Sécurité Extérieure (DGSE) and Israel's Mossad."
Old_English,570a877e4103511400d5980a,What language influenced Old English as a result of the Viking invasions?,Danish,259,"The strength of the Viking influence on Old English appears from the fact that the indispensable elements of the language - pronouns, modals, comparatives, pronominal adverbs (like ""hence"" and ""together""), conjunctions and prepositions - show the most marked Danish influence; the best evidence of Scandinavian influence appears in the extensive word borrowings for, as Jespersen indicates, no texts exist in either Scandinavia or in Northern England from this time to give certain evidence of an influence on syntax."
Saint_Barth%C3%A9lemy,573376314776f41900660b33,What type of fig grows on the island?,barbary,277,"Other trees of note include the royal palm, sea grape trees in the form of shrubs on the beaches and as 5 to 7 m trees in the interior areas of the island, aloe or aloe vera (brought from the Mediterranean), the night blooming cereus, mamillaria nivosa, yellow prickly pear or barbary fig which was planted as barbed wire defences against invading British army in 1773, Mexican cactus, stapelia gigantea, golden trumpet or yellow bell which was originally from South America, bougainvillea and others."
Brigham_Young_University,57289a652ca10214002da4ab,The new Statement on Academic Freedom allows students to analyze and discuss Church doctrine but does not allow student expressions that do what?,contradicts or opposes,165,"In 1992, the university drafted a new Statement on Academic Freedom, specifying that limitations may be placed upon ""expression with students or in public that: (1) contradicts or opposes, rather than analyzes or discusses, fundamental Church doctrine or policy; (2) deliberately attacks or derides the Church or its general leaders; or (3) violates the Honor Code because the expression is dishonest, illegal, unchaste, profane, or unduly disrespectful of others."""
Seattle,571a1ecc10f8ca1400304efe,What festival does Seattle have for the transgender community?,Seattle Transgender Film Festival,478,"There are other annual events, ranging from the Seattle Antiquarian Book Fair & Book Arts Show; an anime convention, Sakura-Con; Penny Arcade Expo, a gaming convention; a two-day, 9,000-rider Seattle to Portland Bicycle Classic, and specialized film festivals, such as the Maelstrom International Fantastic Film Festival, the Seattle Asian American Film Festival (formerly known as the Northwest Asian American Film Festival), Children's Film Festival Seattle, Translation: the Seattle Transgender Film Festival, the Seattle Gay and Lesbian Film Festival, and the Seattle Polish Film Festival."
Immaculate_Conception,5730eac6b7151e1900c015d4,What was the opposite of a sinner who committed a venial type? It would be the most grave type of all . ,mortally sinful,763,"On 4 September 1483, referring to the feast as that of ""the Conception of Immaculate Mary ever Virgin"", he condemned both those who called it mortally sinful and heretical to hold that the ""glorious and immaculate mother of God was conceived without the stain of original sin"" and those who called it mortally sinful and heretical to hold that ""the glorious Virgin Mary was conceived with original sin"", since, he said, ""up to this time there has been no decision made by the Roman Church and the Apostolic See."""
Szlachta,56f83b2faef2371900625f2d,Polish szlachta usually incorporated who?,most local nobility from the areas that were absorbed by Poland–Lithuania,729,"It should be noted, though, that Polish szlachta usually incorporated most local nobility from the areas that were absorbed by Poland–Lithuania (Ruthenian boyars, Livonian nobles, etc.) By contrast, the nobilities of other European countries, except for Spain, amounted to a mere 1–3%, however the era of sovereign rules of Polish nobility ended earlier than in other countries (excluding France) yet in 1795 (see: Partitions of Poland), since then their legitimation and future fate depended on legislature and procedures of Russian Empire, Kingdom of Prussia or Habsburg Monarchy."
Saint_Barth%C3%A9lemy,5733796c4776f41900660b64,What is the favorite prey of leatherback sea turtles?,jellyfish,723,"These are: The leatherback sea turtles which have leather skin instead of a shell and are the largest of the type found here, some times measuring a much as 3 m (average is about 1.5 m) and weighing about 450 kg (jellyfish is their favourite diet); the hawksbill turtles, which have hawk-like beaks and found near reefs, generally about 90 cm in diameter and weigh about 60 kg and their diet consists of crabs and snails; and the green turtles, herbivores which have rounded heads, generally about 90 cm in diameter and live amidst tall sea grasses."
Oklahoma_City,56df858f56340a1900b29cdd,How many counties does Oklahoma Cities Networks cover?,34,171,"The major U.S. broadcast television networks have affiliates in the Oklahoma City market (ranked 41st for television by Nielsen and 48th for radio by Arbitron, covering a 34-county area serving the central, northern-central and west-central sections Oklahoma); including NBC affiliate KFOR-TV (channel 4), ABC affiliate KOCO-TV (channel 5), CBS affiliate KWTV-DT (channel 9, the flagship of locally based Griffin Communications), PBS station KETA-TV (channel 13, the flagship of the state-run OETA member network), Fox affiliate KOKH-TV (channel 25), CW affiliate KOCB (channel 34), independent station KAUT-TV (channel 43), MyNetworkTV affiliate KSBI-TV (channel 52), and Ion Television owned-and-operated station KOPX-TV (channel 62)."
Russian_language,5730f1c3e6313a140071cad7,What did the old letters ⟨і⟩ and ⟨ѵ⟩ become?,⟨и⟩,121,"Older letters of the Russian alphabet include ⟨ѣ⟩, which merged to ⟨е⟩ (/je/ or /ʲe/); ⟨і⟩ and ⟨ѵ⟩, which both merged to ⟨и⟩ (/i/); ⟨ѳ⟩, which merged to ⟨ф⟩ (/f/); ⟨ѫ⟩, which merged to ⟨у⟩ (/u/); ⟨ѭ⟩, which merged to ⟨ю⟩ (/ju/ or /ʲu/); and ⟨ѧ/⟨ѩ⟩⟩, which later were graphically reshaped into ⟨я⟩ and merged phonetically to /ja/ or /ʲa/."
Saint_Helena,56e067a27aa994140058e453,How close are the rockets and islets off the coast?,one kilometre,475,"There are several rocks and islets off the coast, including: Castle Rock, Speery Island, the Needle, Lower Black Rock, Upper Black Rock (South), Bird Island (Southwest), Black Rock, Thompson's Valley Island, Peaked Island, Egg Island, Lady's Chair, Lighter Rock (West), Long Ledge (Northwest), Shore Island, George Island, Rough Rock Island, Flat Rock (East), the Buoys, Sandy Bay Island, the Chimney, White Bird Island and Frightus Rock (Southeast), all of which are within one kilometre (0.62 miles) of the shore."
Madonna_(entertainer),572700addd62a815002e9760,Madonna sold how many albums worldwide?,300 million records,27,Madonna has sold more than 300 million records worldwide.
Warsaw_Pact,56df02483277331400b4d8a1,The formation of the Warsaw Pact was driven by fears of which country rearming itself?,West Germany,203,These states protested strongly against re-militarization of West Germany.
East_India_Company,57267f375951b619008f74b7,What building now sits where the EIC headquarters last sat?,the Lloyd's building,614,The site is now occupied by the Lloyd's building.
Tuvalu,5730ae26396df91900096277,"According the the 2012 census, how many people live on the Tuvalu islands?",10640,455,"Tuvalu has a population of 10,640 (2012 census)."
Antarctica,570dedb80dc6ce1900204d1c,What light does ozone absorb?,ultraviolet radiation,199,Ozone absorbs large amounts of ultraviolet radiation in the stratosphere.
British_Isles,57301c06947a6a140053d114,When did the clearing of swamp land and forests begin in the British Isles?,around 6000 BC,107,Clearing began around 6000 BC and accelerated in medieval times.
Sumer,5730bbb2069b5314008322cd,What did the Sumerians a complex system of around 4000 BC?,metrology,44,The Sumerians developed a complex system of metrology c. 4000 BC.
Queen_Victoria,57258041cc50291900b28543,How long was Lord Sailsbury Prime Minister?,the remainder of Victoria's reign,470,Salisbury remained prime minister for the remainder of Victoria's reign.
Modern_history,572f4433b2c2fd1400567fab,Where did the wealth of the Glided Age come form?,industrial and population expansion.,286,The wealth polarization derived primarily from industrial and population expansion.
Israel,5725ce0a38643c19005acd47,Israel is a leading country of what development?,solar energy,50,Israel is a leading country in the development of solar energy.
"Raleigh,_North_Carolina",5726acc95951b619008f79c0,What president was born in Raleigh?,Andrew Johnson,955,"One U.S. president, Andrew Johnson, was born in Raleigh."
Sumer,5730c000396df91900096315,What form did wheels initially take?,potter's wheel,204,The wheel initially took the form of the potter's wheel.
University,57318f86a5e9cc1400cdc08c,The control of universities by the state can be attributed to the advancement in the development of what?,the nation-state.,803,This era was also affected by the rise of the nation-state.
Estonian_language,56e24abacd28a01900c67c34,What language family does Estonian belong to?,Uralic,232,It belongs to the Finnic branch of the Uralic language family.
Religion_in_ancient_Rome,5731f9fa0fdd8d15006c66a7,What type of diviners were suspect in Rome?,private diviners,336,Secretive consultations between private diviners and their clients were thus suspect.
Political_corruption,56eaaf2b5a205f1900d6d3f7,When was the Global Integrity Index first published?,2004,411,"These metrics include the Global Integrity Index, first published in 2004."
Philadelphia,572ac054111d821400f38d1f,What was the grad rate in 2005?,52%,159,"In 2005, Philadelphia had a district graduation rate of 52%."
Pub,56dfe4e97aa994140058e22f,What was William Shakespeare's father's first name?,John,403,"William Shakespeare's father, John Shakespeare, was one such inspector."
Franco-Prussian_War,570d5a0cfed7b91900d45ef1,Which town's people surrendered to the Germans?,Wissembourg,239,The people of the town of Wissembourg finally surrendered to the Germans.
Chihuahua_(state),570710cb90286e26004fc895,Which vegetable were they found to have been farming?,corn,368,Inhabitants of the state later developed farming with the domestication of corn.
Han_dynasty,572f6dde04bcaa1900d76940,Who put an end to all erudites?,Emperor Wu,214,"However, the Han court under Emperor Wu gave Confucianism exclusive patronage."
Tuvalu,573134d3e6313a140071cd1e,What type of desalination is used on Funafuti?,Reverse osmosis,0,Reverse osmosis (R/O) desalination units supplement rainwater harvesting on Funafuti.
Bird_migration,5705f53452bb891400689738,How many species of birds are there?,10000,534,"Approximately 1800 of the world's 10,000 bird species are long-distance migrants."
Anti-aircraft_warfare,570d3b05b3d812140066d59e,What happened to the pilots that were in the aircraft shot down?,both pilots died,474,It crashed in the city and both pilots died from their injuries.
Comprehensive_school,56dc7e6714d3a41400c26922,What has Scotland refused to adopt?,specialist schools,345,The Scottish Government has rejected plans for specialist schools as of 2005.
North_Carolina,5727948af1498d1400e8fcb2,Some North Carolinians still refused to support what after secession?,the Confederacy,59,"After secession, some North Carolinians refused to support the Confederacy."
Alsace,57278f23708984140094e0d8,"Jews were banned from cities in Alsace, where were they forced to settle?",in villages,405,Jews were barred from most cities and instead lived in villages.
Josip_Broz_Tito,56f83a84a6d7ea1400e174dc,The Cryptologic Spectrum also notes whose impressions of Tito's Russian origins?,Draža Mihailović's,350,The report also notes Draža Mihailović's impressions of Tito's Russian origins.
To_Kill_a_Mockingbird,56d1073817492d1400aab787,What year was To Kill a Mockingbird first published?,1960,60,To Kill a Mockingbird is a novel by Harper Lee published in 1960.
East_Prussia,572a38ef3f37b319004787de,What large plans did Koch have?,mass-scale industrialization of the largely agricultural province,275,He also had long-term plans for mass-scale industrialization of the largely agricultural province.
Muammar_Gaddafi,5731744305b4da19006bd1b8,What Arab nationalist thinker was influential with the RCC?,Nasser,17,The influence of Nasser's Arab nationalism over the RCC was immediately apparent.
Mesozoic,570ad7b26d058f190018311a,What is the span of years for the Early Jurassic?,200 million years to 175 million,30,The Early Jurassic spans from 200 million years to 175 million years ago.
The_Bronx,57325bc30fdd8d15006c6a30,What percent of the Bronx is Cuban?,0.7%,272,"Cubans numbered over 9,640 members and formed 0.7% of the population."
Carnival,5727594add62a815002e9b82,The term Carnival is very common in areas with a large presence of which religious sect?,Catholic,62,The term Carnival is traditionally used in areas with a large Catholic presence.
Dwight_D._Eisenhower,573244c1e17f3d14004227a2,What was Clifford Roberts by profession?,investment broker,568,"Roberts, an investment broker, also handled the Eisenhower family's investments."
North_Carolina,57278177708984140094df72,What was the name of the Spanish man that met the people in Joara?,Hernando de Soto,157,Records of Hernando de Soto attested to his meeting with them in 1540.
Pope_Paul_VI,5726a975708984140094cd38,With whom did Montini feel he had a brother like connection to?,Pope Pius XII,640,"Montini's admiration was almost filial, when he described Pope Pius XII:"
Financial_crisis_of_2007%E2%80%9308,57334d024776f41900660814,Which products created more complexity in the financial markets?,innovative financial products,13,This boom in innovative financial products went hand in hand with more complexity.
New_Delhi,5705e37175f01819005e76e0,For what territory does New Delhi serve as the seat of Government?,Delhi,185,"In addition, it also serves as the seat of Government of Delhi."
Namibia,57310d33e6313a140071cbb2,"Compared to neighbouring countries, what freedom does Namibia have?",media,66,"Compared to neighbouring countries, Namibia has a large degree of media freedom."
To_Kill_a_Mockingbird,56ce30f5aab44d1400b88520,When did To Kill a Mockingbird first get circulated?,1960,60,To Kill a Mockingbird is a novel by Harper Lee published in 1960.
PlayStation_3,5728027d3acd2414000df211,How many PlayStation 3 units had been purchased as of early 2016?,85 million,845,"As of March 2016, PlayStation 3 has sold 85 million units worldwide."
Dwight_D._Eisenhower,57327d1a0fdd8d15006c6b12,What did Khrushchev demand that Eisenhower do?,apologize,224,Eisenhower refused to accede to Khrushchev's demands that he apologize.
Mandolin,5728aeb92ca10214002da5b4,The mandolin was reported to be popular among what sex? ,woman,542,There are also reports that the mandolin was mostly a woman's musical instrument.
Spectre_(2015_film),56cdaf0362d2951400fa6808,Which company made Spectre?,Eon Productions,64,Spectre (2015) is the twenty-fourth James Bond film produced by Eon Productions.
Zinc,572b4ce0f75d5e190021fd7f,What causes symptoms such as lethargy and copper deficiency?,excess zinc,537,"Consumption of excess zinc can cause ataxia, lethargy and copper deficiency."
"John,_King_of_England",570c59bbfed7b91900d458f5,John focused on trying to retake what?,Normandy,68,"During the remainder of his reign, John focused on trying to retake Normandy."
European_Central_Bank,57281a83ff5b5019007d9d57,Who buys the bonds instead of using them in reverse transactions?,the Fed,15,"In contrast to the Fed, the ECB normally does not buy bonds outright."
Greece,57268c25dd62a815002e892a,What is the name of Greece's top domestic basketball league?,A1 Ethniki,539,"The domestic top basketball league, A1 Ethniki, is composed of fourteen teams."
Pub,56dfd68c231d4119001abe1e,What is an example of a county where provinces were closed for violating the Defence of the Realm Act?,Pembrokeshire,485,"Pubs were closed under the Act and compensation paid, for example in Pembrokeshire."
Carnival,5727904df1498d1400e8fc31,Where did Calypso music originate?,Trinidad,74,"Calypso music, originating in Trinidad, uses syncopated rhythm and topical lyrics."
Frédéric_Chopin,56cf6ca44df3c31400b0d779,Where did Chopin intend to go after Austria?,Italy,294,"With Woyciechowski, he headed for Austria, intending to go on to Italy."
Insect,572998921d04691400779567,Dragonflys shoot water from where?,rectal chamber,225,"Dragonfly naiads use jet propulsion, forcibly expelling water out of their rectal chamber."
Alps,56f8a99d9b226e1400dd0d90,What type of soil does Alpenrose prefer?,acidic soil,261,"Although the Alpenrose prefers acidic soil, the plants are found throughout the region."
Avicenna,5726ebec708984140094d610,What is the universal agent?,Intellect,170,Sensation prepares the soul to receive rational concepts from the universal Agent Intellect.
Qing_dynasty,5731350da5e9cc1400cdbce1,How long was Kangxi Emperor in power?,sixty-one year,4,The sixty-one year reign of the Kangxi Emperor was the longest of any Chinese emperor.
Montana,573408fed058e614000b6836,How much of the state is prarie?,About 60 percent,697,"About 60 percent of the state is prairie, part of the northern Great Plains."
Central_African_Republic,57281b783acd2414000df4a6,What large animals reside in the national park?,forest elephants,127,The country is noted for its population of forest elephants and western lowland gorillas.
YouTube,573196af497a88190024909b,Where is Youtube headquartered? ,"San Bruno, California, United States",59,"YouTube is a global video-sharing website headquartered in San Bruno, California, United States."
Seattle,571a395610f8ca1400304f81,On what type of transportation system has Seattle begun to focus?,mass transit,65,The city has started moving away from the automobile and towards mass transit.
Dog,56d9b06edc89441400fdb6df,"In addition to vocalization and body posture, how do people communicate with dogs?",hand signals,439,"Humans communicate with dogs by using vocalization, hand signals and body posture."
American_Idol,56db2d28e7c41114004b4ec9,How many judges did this season have?,four,275,This was the first season since season nine to have four judges on the panel.
Nutrition,5726b2725951b619008f7ae0,How many sailors died from scurvy between the years 1500 and 1800?,two million,310,"Between 1500 and 1800, an estimated two million sailors had died of scurvy."
To_Kill_a_Mockingbird,56d18bcde7d4791d0090205e,What des Jem struggle to understand?,separations of race and class,459,This leads him to struggle with understanding the separations of race and class.
Southern_Europe,56de48464396321400ee2765,What institution of mercantilism was established with New World colonies?,the Columbian Exchange,75,"European overseas expansion led to the rise of colonial empires, producing the Columbian Exchange."
Royal_Dutch_Shell,572619b8ec44d21400f3d8d4,What was the main reason for the creation of the Royal Dutch Shell Group?,the need to compete globally with Standard Oil,265,It was a move largely driven by the need to compete globally with Standard Oil.
University_of_Kansas,56e793cb37bdd419002c418b,How many students attended the medical center at KU in fall of 2013?,3349,261,"As of the Fall 2013 semester, there were 3,349 students enrolled at KU Med."
Railway_electrification_system,572f2607947a6a140053c7dc,Why do motors have little space for insulation?,low voltage ratings,78,Motors have very little room for electrical insulation so they generally have low voltage ratings.
Dwight_D._Eisenhower,5732868bb3a91d1900202e12,What damaged the Eisenhower Pine in February 2014?,ice storm,478,The tree was removed in February 2014 after an ice storm caused it significant damage.
Neptune,572ea40dcb0c0d14000f13d5,Which direction does Neptune's winds move relevant to the plant's rotation?,opposite,489,Most of the winds on Neptune move in a direction opposite the planet's rotation.
Tuvalu,57311641e6313a140071cc19,What has been the GDP of Tuvalu in 2008?,1.5%,229,"Since 2002 economic growth has slowed, with GDP growth of 1.5% in 2008."
"Charleston,_South_Carolina",5730141804bcaa1900d77133,Whose 1704 plan was used to fortified the city?,Governor Johnson,417,The heart of the city was fortified according to a 1704 plan by Governor Johnson.
Korean_War,5726f69df1498d1400e8f11a,Why were naval skirmishes not really seen in the Korean War?,neither Korea had a significant navy,8,"Because neither Korea had a significant navy, the Korean War featured few naval battles."
Alfred_North_Whitehead,5733801f4776f41900660c03,In what field of study has Whitehead's work been most influential in the United States?,American progressive theology,72,Historically Whitehead's work has been most influential in the field of American progressive theology.
Hunter-gatherer,56dface3231d4119001abc68,What is the basis of a hunting an gathering economy?,gift economy,201,"Therefore, these societies can be described as based on a ""gift economy."""
To_Kill_a_Mockingbird,56d3e7442ccc5a1400d82f3d,What university awarded Lee an honorary doctorate in 2006?,Notre Dame,70,"In 2006, Lee was awarded an honorary doctorate from the University of Notre Dame."
2008_Sichuan_earthquake,56d533a52593cc1400307acf,What caused the deaths of many school children?,shoddy construction,72,"In terms of school casualties, thousands of school children died due to shoddy construction."
IPod,56ce792caab44d1400b887d7,Of what band did Apple present a special edition iPod 5G?,U2,73,In 2006 Apple presented a special edition for iPod 5G of Irish rock band U2.
Friedrich_Hayek,572a3e323f37b31900478815,Which philosopher did Hayek learn about in a school lecture?,Aristotle,348,In school Hayek was much taken by one instructor's lectures on Aristotle's ethics.
Comics,56e02db6231d4119001abf8f,Where do comics usually appear?,newspapers,97,"Comic strips are generally short, multipanel comics that traditionally most commonly appeared in newspapers."
MP3,57062dd675f01819005e7a32,Where did MP3s begin to spread?,the Internet,57,"In the second half of '90s, MP3 files began to spread on the Internet."
Gymnastics,570cedbbb3d812140066d331,How many mens' rhythmic gymnasts were in Japan in 2002?,1000,752,"As of 2002[update], there were 1000 men's rhythmic gymnasts in Japan."
Plymouth,56de68a54396321400ee28a0,During whose reign was the former town of Sutton referred to as Plymouth?,King Henry VI,506,The name Plymouth first officially replaced Sutton in a charter of King Henry VI in 1440.
2008_Sichuan_earthquake,56d53a0e2593cc1400307af7,What kind of reasons do their findings show?,variety of reasons,197,Their findings show a variety of reasons why many constructions failed to withstand the earthquake.
Cotton,57274e25dd62a815002e9acb,What form of cotton is GM?,Genetically modified,0,Genetically modified (GM) cotton was developed to reduce the heavy reliance on pesticides.
Heresy,56de722fcffd8e1900b4b90b,Which religion is cited as having problems with modern biblical criticism?,Protestant,141,Issues in the Protestant churches have included modern biblical criticism and the nature of God.
Saint_Helena,56e070fd231d4119001ac13b,How much % of production does the public sector cover?,50%,291,"The public sector dominates the economy, accounting for about 50% of gross domestic product."
Asphalt,571b08d99499d21900609beb,About what temperature is asphalt shipped?,150 °C,75,Asphalt/bitumen is typically stored and transported at temperatures around 150 °C (302 °F).
Videoconferencing,570afc276b8089140040f683,How does video-conferencing allow multiple parties to communicate with each other?,web-based applications,604,"Again, technology improvements have circumvented traditional definitions by allowing multiple party videoconferencing via web-based applications."
Cork_(city),5727e9773acd2414000defa1,How many All-Ireland Senior Football Championship titles have been won by Cork?,7,223,"Gaelic football is also popular, and Cork has won 7 All-Ireland Senior Football Championship titles."
Buddhism,56d20db9e7d4791d00902635,Buddhism traditionally incorporates states of what type of absorption?,meditative,46,Buddhism traditionally incorporates states of meditative absorption (Pali: jhāna; Skt: dhyāna).
Professional_wrestling,572662d9708984140094c476,What is one reason that a wrestler may not be able to continue?,an injury,193,This may be decided if the wrestler cannot continue the match due to an injury.
Comcast,57271305f1498d1400e8f330,What ownership stake did Ccomcast get in this deal?,51%,510,"GE would maintain 49% control of the new company, while Comcast owned 51%."
Comcast,5727058fdd62a815002e97d3,What online media outlet ran an investigative series on Comcast in 2014?,The Verge,370,A 2014 investigative series published by The Verge involved interviews with 150 of Comcast's employees.
Josip_Broz_Tito,56f7f171aef2371900625ca0,"After returning from India, Tito removed restrictions on what type of institutions?",spiritual,130,"After his return, he removed many restrictions on churches and spiritual institutions in Yugoslavia."
Iran,573005ae947a6a140053cf61,Where did these Turkic tribes come from before the migrated into Iran in the 10th Century?,Central Asia,60,The 10th century saw a mass migration of Turkic tribes from Central Asia into the Iranian plateau.
Mammal,57263afcec44d21400f3dc6c,What is the dermis mainly consist of?,bony structures and blood vessels,333,"The dermis is made up of many components, such as bony structures and blood vessels."
Madonna_(entertainer),5726fb6f708984140094d79a,She transmit her avant garde style to which audience?,American audience,201,She was able to transmit her avant-garde downtown New York fashion sense to the American audience.
Daylight_saving_time,56e798c700c9c71400d77348,"IANA, or zoneinfo, updates are installed as a part of what ordinary function when changes to DST policy are made?",system maintenance,378,"When temporal authorities change DST rules, zoneinfo updates are installed as part of ordinary system maintenance."
Han_dynasty,572fa326b2c2fd1400568269,What type of scholars have provided proof that mechanical engineering was prominent during the Han period?,Confucian,123,Evidence of Han-era mechanical engineering comes largely from the choice observational writings of sometimes disinterested Confucian scholars.
Bern,56e965790b45c0140094cdff,What is the name of the regional airport?,Bern-Belp or Belpmoos,127,"The regional airport, colloquially called Bern-Belp or Belpmoos, is connected to several European cities."
Gymnastics,570cedbbb3d812140066d32d,What are mens' rhythmic gymnastics related to?,both Men's artistic gymnastics and wushu martial arts,40,Men's rhythmic gymnastics is related to both Men's artistic gymnastics and wushu martial arts.
Hunting,57344a29879d6814001ca4a4,What does Shiva destroy in human beings?,animal instincts,496,"Shiva, as Mrigavyadha, is the one who destroys the animal instincts in human beings."
Himachal_Pradesh,57096cd5200fba1400367fc7,What is the most renowned argricultural institues?,CSK Himachal Pradesh Krishi Vishwavidyalya Palampur,722,CSK Himachal Pradesh Krishi Vishwavidyalya Palampur is one of the most renowned hill agriculture institutes in world.
Super_Nintendo_Entertainment_System,5730a4e0069b5314008321f9,How many SNES units were sold in the US overall?,more than 20 million,1017,"According to Nintendo, the company had sold more than 20 million SNES units in the U.S."
American_Idol,56db25f5e7c41114004b4e10,Which original judge left prior to the start of the season?,Paula Abdul,133,Ellen DeGeneres joined as a judge to replace Paula Abdul at the start of Hollywood Week.
Josip_Broz_Tito,56f714ef711bf01900a44921,Tito joined which unit in Omsk?,Red Guard,434,"He participated in the October Revolution, and later joined a Red Guard unit in Omsk."
Protestantism,5731ce3ab9d445190005e577,How much was the German population reduced during the Thirty Years' War?,between 25% and 40%,398,"It devastated much of Germany, killing between 25% and 40% of its population."
Pesticide,5726a7695951b619008f7936,How can the location and amount of insects be changed?,behavior-modifying stimuli,130,This strategy uses a mixture of behavior-modifying stimuli to manipulate the distribution and abundance of insects.
Israel,5725c5e0271a42140099d180,How many private colleges does Israel have?,49,73,Israel has nine public universities that are subsidized by the state and 49 private colleges.
Adolescence,570da71c16d0071400510c58,Does self-examination begin early or late in adolescence?,early,50,"Research since reveals self-examination beginning early in adolescence, but identity achievement rarely occurring before age 18."
Religion_in_ancient_Rome,5732354ce17f3d140042272d,What pleas were rejected by the empire?,religious tolerance,255,Pleas for religious tolerance from traditionalists such as the senator Symmachus (d. 402) were rejected.
Saint_Helena,56e03502231d4119001abfbf,Saint Helena was an important port of which company?,East India Company,74,"Throughout this period, Saint Helena was an important port of call of the East India Company."
